UID,name,postion,date,hall_no,start_time,end_time,title,twitter,url1,url2,url3,url4,
0,松尾 豊,東京大学大学院工学系研究科 教授,2021/03/11,A,13:30,14:30,これからの社会の変化と若者に求められるあり方とは,https://twitter.com/ymatsuo,http://ymatsuo.com/japanese/,https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%B0%BE%E8%B1%8A,https://type.jp/et/feature/13988/,,
1,小林 篤,株式会社ディー・エヌ・エー 務執行役員CTO,2021/03/11,A,14:40,15:40,活躍するエンジニアに共通する7つの特徴,https://twitter.com/nekokak,https://fullswing.dena.com/archives/4171,https://dena.com/jp/recruit/career/opf/interview/engineer.html,https://type.jp/et/feature/4457/,,
2,まつもと ゆきひろ,Ruby開発者,2021/03/11,A,15:50,16:50,Matzに聞きたい100のこと 〜Rubyの父に聞く、エンジニアのキャリアとスキル〜,https://twitter.com/yukihiro_matz,https://ja.wikipedia.org/wiki/%E3%81%BE%E3%81%A4%E3%82%82%E3%81%A8%E3%82%86%E3%81%8D%E3%81%B2%E3%82%8D,https://employment.en-japan.com/myresume/entry/2019/09/26/103000,https://type.jp/et/feature/11640/,,
3,藤本 真樹,グリー株式会社 取締役 上級執行役員 最高技術責任者,2021/03/11,A,17:00,18:00,エンジニアとしてどう生きていくか 〜20年の技術変遷から考える生存戦略〜,https://twitter.com/masaki_fujimoto,https://type.jp/et/feature/14351/,https://japan.cnet.com/article/35059737/,https://japan.cnet.com/article/35059737/2/,https://labs.gree.jp/blog/2020/12/20974/,
4,松岡 清一,株式会社FIXER 代表取締役社長,2021/03/12,A,13:30,14:30,,,https://www.fixer.co.jp/ja-jp/about/leadership.html,https://jp.ext.hp.com/techdevice/business/jbp_o05/,https://next.rikunabi.com/journal/20180409_c12/,,
5,外山英幸,株式会社ビズリーチ（Visionalグループ）執行役員/CTO,2021/03/12,A,14:40,15:40,〜ハイクラス人材向けサービスを運営するビズリーチのCTOが語る〜「市場価値の高いエンジニア」ってどんなエンジニア？,,https://octopass.jp/3618/,https://blog.visional.inc/n/nce82fe9cdef2,https://logmi.jp/tech/articles/321451,,
6,片岡俊行,株式会社ゆめみ 代表取締役,2021/03/12,A,15:50,16:50,超就活術 〜つよつよエンジニアになる為の５つの絶対原則〜,,https://www.yumemi.co.jp/message,https://bizzine.jp/article/detail/3994,https://bizzine.jp/article/detail/3994?p=2,https://bizzine.jp/article/detail/3994?p=3,https://bizzine.jp/article/detail/3994?p=4
7,長瀬慶重,株式会社サイバーエージェント 技術担当 常務執行役員,2021/03/12,A,17:00,18:00,［1部］今求められる21世紀型エンジニアに必要なこと［2部］大好評につき今年も開催！若手6人のぶっちゃけトーク,,,,,,
8,登 大遊,IPA サイバー技術研究室長 NTT東日本 特殊局員,2021/3/13,A,13:30,14:30,日本のけしからん行政系機関や大企業でけしからんサイバー技術開発を行なうことについて,,,,,,
9,田中 泰生,芸者東京株式会社 CEO,2021/3/13,A,14:40,15:40,2年で3億7000万人に遊ばれるスマホゲームの作り方,,,,,,
10,澁川喜規,フューチャー株式会社シニアアーキテクト,2021/3/13,A,15:50,16:50,技術書執筆のススメ〜Only1なエンジニアになるためのセルフブランディング〜,,,,,,
11,ひろゆき,元2ちゃんねる管理人,2021/3/13,A,17:00,18:00,ひろゆきだけど何か質問ある？,,,,,,
12,千代田 まどか(ちょまど),Microsoft Cloud Developer Advocate,2021/03/11,B,13:30,14:30,「オタ駆動開発」で夢を叶える 〜煩悩のためにプログラミングを学んだ腐女子のキャリア〜,https://twitter.com/chomado,https://sakumaga.sakura.ad.jp/entry/2020/09/29/120000?utm_source=chomado&utm_medium=blog&utm_campaign=chomado,https://sakumaga.sakura.ad.jp/entry/2020/08/28/120000?utm_source=chomado&utm_medium=blog&utm_campaign=chomado,https://sakumaga.sakura.ad.jp/entry/2020/07/22/120000?utm_source=chomado&utm_medium=blog&utm_campaign=chomado,https://www.nisc.go.jp/security-site/month/column/200309.html,
13,水上 廣敏,アクセンチュア株式会社 テクノロジー コンサルティング本部 マネジング・ディレクター,2021/03/11,B,14:40,15:40,難攻不落の未踏峰に挑む 〜デジタルでアジャイルな銀行をゼロから作れ〜,,,,,,
14,高橋 直大（chokudai）,AtCoder株式会社 代表取締役社長,2021/03/11,B,15:50,16:50,RedCoderのライブ競プロ ～競プロ世界ランカーのアルゴリズム改善～,,,,,,
15,塚本 祥太,フューチャー株式会社 最適化スペシャリスト,2021/03/11,B,17:00,18:00,競プロスキルでビジネス無双 〜誰もやらないのでエンジニアだけど営業から研究開発まで全部やります〜,,,,,,
16,藤原 麻里菜,無駄づくり発明家 コンテンツクリエイター,2021/03/12,B,13:30,14:30,無駄なものをつくって稼ぐ方法,https://twitter.com/togenkyoo,,,,,
17,鈴木健太,株式会社fluct CTO / 株式会社VOYAGE GROUP(CARTA HOLDINGS) みんなのGo言語共著者,2021/03/12,B,14:40,15:40,Goライブコーディング2021,https://twitter.com/suzu_v,,,,,
18,岡本 邦宏,パーソルキャリア株式会社 サービス開発統括部,2021/03/12,B,15:50,16:50,これから必要とされるエンジニアになるために、知っておくべきこと,https://twitter.com/kcoconala,,,,,
19,鈴木 優一,CROOZ株式会社 執行役員 最高技術責任者/CTO CROOZ SHOPLIST株式会社 技術統括部長,2021/03/12,B,17:00,18:00,プログラム未経験から一人前のエンジニアとして活躍できるために学生のうちにやっておくべきこと,,,,,,
20,松岡 聡,理化学研究所 計算科学研究センター センター長 東京工業大学 特任教授,2021/3/13,B,11:00,12:00,スーパーコンピュータ富岳による10万ノード級のAIとSociety5.0へのインパクト,https://twitter.com/profmatsuoka,,,,,
21,大久保 寛,合同会社DMM.com VPoE,2021/3/13,B,13:30,14:30,これからのエンジニア／これからのDMM,,,,,,
22,成瀬 允宣,GMOインターネット株式会社 デベロッパーエバンジェリスト,2021/3/13,B,14:40,15:40,ただプログラマでありたい ～夢中になれるプログラミングの楽しみ方～,https://twitter.com/nrslib,,,,,
23,桑原聖仁,株式会社ゆめみ 取締役,2021/3/13,B,14:40,16:50,テーマ未定,,,,,,
24,是澤 太志 / 生内 洋平 / 生内 洋平,サイカCTO / 時空テクノロジーズCEO / マクアケCTO ,2021/3/13,B,17:00,18:00,プログラミング以外にも重要なこと 〜モノづくりキャリアの歩み方~,,,,,,